Package                           Version                Build                  Size       Kind   Source
jupyter_leaflet                   0.20.0                 pyhd8ed1ab_0           601.5 KiB  conda  https://conda.anaconda.org/conda-forge/
jupyter_server                    2.18.1                 pyhcf101f3_0           351.3 KiB  conda  https://conda.anaconda.org/conda-forge/
jupyter_server_terminals          0.5.4                  pyhcf101f3_0           21.5 KiB   conda  https://conda.anaconda.org/conda-forge/
jupyterlab                        4.5.7                  pyhd8ed1ab_0           8.5 MiB    conda  https://conda.anaconda.org/conda-forge/
jupyterlab_pygments               0.3.0                  pyhd8ed1ab_2           18.3 KiB   conda  https://conda.anaconda.org/conda-forge/
jupyterlab_server                 2.28.0                 pyhcf101f3_0           50.4 KiB   conda  https://conda.anaconda.org/conda-forge/
jupyterlab_widgets                3.0.16                 pyhcf101f3_1           211.7 KiB  conda  https://conda.anaconda.org/conda-forge/
jupytext                          1.19.1                 pyhbbac1ac_0           110.7 KiB  conda  https://conda.anaconda.org/conda-forge/
keyring                           25.7.0                 pyh7428d3b_0           37.3 KiB   conda  https://conda.anaconda.org/conda-forge/
kiwisolver                        1.5.0                  py314hf309875_0        71.6 KiB   conda  https://conda.anaconda.org/conda-forge/
krb5                              1.22.2                 h0ea6238_0             733.5 KiB  conda  https://conda.anaconda.org/conda-forge/
lark                              1.3.1                  pyhd8ed1ab_0           92.1 KiB   conda  https://conda.anaconda.org/conda-forge/
lcms2                             2.19                   hf2c6c5f_0             509.4 KiB  conda  https://conda.anaconda.org/conda-forge/
lerc                              4.1.0                  hd936e49_0             168.4 KiB  conda  https://conda.anaconda.org/conda-forge/
libabseil                         20260107.1             cxx17_h0eb2380_0       1.8 MiB    conda  https://conda.anaconda.org/conda-forge/
libarchive                        3.8.7                  gpl_he24518a_100       1.1 MiB    conda  https://conda.anaconda.org/conda-forge/
libarrow                          24.0.0                 hc74aee5_0_cpu         4.1 MiB    conda  https://conda.anaconda.org/conda-forge/
libarrow-acero                    24.0.0                 h7d8d6a5_0_cpu         436.5 KiB  conda  https://conda.anaconda.org/conda-forge/
